"filename", "language", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "XML", "SCSS", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\Igor\Downloads\Randolympics\.eslintrc.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Igor\Downloads\Randolympics\README.md", "Markdown", 0, 0, 55, 0, 0, 0, 0, 0, 0, 73, 128
"c:\Users\Igor\Downloads\Randolympics\backup\elections_old_red_line_table.jsx", "JavaScript JSX", 0, 0, 0, 549, 0, 0, 0, 0, 60, 263, 872
"c:\Users\Igor\Downloads\Randolympics\backup\itemcampaign.jsx", "JavaScript JSX", 0, 0, 0, 517, 0, 0, 0, 0, 132, 85, 734
"c:\Users\Igor\Downloads\Randolympics\backup\others.jsx", "JavaScript JSX", 0, 0, 0, 236, 0, 0, 0, 0, 138, 89, 463
"c:\Users\Igor\Downloads\Randolympics\backup\snipet_elections.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 2, 9, 74
"c:\Users\Igor\Downloads\Randolympics\i18n.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 22, 10, 51
"c:\Users\Igor\Downloads\Randolympics\index.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 5, 31, 59
"c:\Users\Igor\Downloads\Randolympics\languages.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Igor\Downloads\Randolympics\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 8052, 0, 0, 1, 8053
"c:\Users\Igor\Downloads\Randolympics\package.json", "JSON", 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 88
"c:\Users\Igor\Downloads\Randolympics\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Igor\Downloads\Randolympics\public\blogs\pen_to_square_empty.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\blogs\pen_to_square_filled.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\blogs\pencil.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\blogs\star_empty.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\blogs\star_filled.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\blogs\trash.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\editprofile\delete.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\editprofile\private_lock.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\editprofile\resign.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\editprofile\withdraw.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\favicon-fullcolor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\favicon-red.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\footer\app_store.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Igor\Downloads\Randolympics\public\footer\google_play.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\footer\logo_footer.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Igor\Downloads\Randolympics\public\home\about\left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\home\about\right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\home\centreProgressContainer.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
